specimen_id,e-type,m-type,me-type,upright_angle,soma_distance_from_pia,estimated_shrinkage_factor,estimated_slice_angle
466664172,Inh_5,,,,,,
466705337,Inh_4,,,,,,
466800233,Exc_3,,,,,,
466827702,Exc_3,,,,,,
467003163,Exc_3,,,,,,
467357834,Exc_3,,,,,,
467703703,Exc_3,Spiny_8,ME_Exc_17,202.0043196,465.0533118,2.647425681,9.96293096
467782778,Inh_12,,,,,,
467831649,Exc_3,,,,,,
468054671,Exc_3,,,,,,
468120757,Exc_2,Spiny_12,ME_Exc_13,204.4598762,541.0889975,1.831434746,3.134565165
468193142,Exc_3,Spiny_4,ME_Exc_17,176.2052581,438.2139832,2.56417927,8.426693767
469610831,Inh_11,,,,,,
469614747,Inh_13,,,,,,
469661756,Exc_3,,,,,,
469704261,Exc_1,Spiny_5,ME_Exc_4,169.1694888,431.3506516,1.935670233,-10.68267578
469720505,Exc_3,,,,,,
469734859,Exc_3,,,,,,
469753383,Inh_1,,,,,,
469761118,Exc_3,,,,,,
469763389,Exc_3,,,,,,
469793303,Exc_3,Spiny_5,ME_Exc_18,192.2976298,464.977714,2.69200743,0.303766554
469798159,Exc_3,Spiny_4,ME_Exc_18,157.0882053,387.9184738,3.7385041,2.08799361
469800845,Exc_3,,,,,,
469801138,Inh_13,,,,,,
469801569,Inh_11,,,,,,
469803003,Exc_3,,,,,,
469803127,Exc_3,,,,,,
469832490,Exc_3,,,,,,
469864405,Exc_3,,,,,,
469992918,,Aspiny_8,,213.4918448,409.8038973,3.160690403,-20.67147248
470062597,Inh_11,,,,,,
470098860,Exc_3,,,,,,
470581375,Inh_6,,,,,,
471077468,Inh_13,Aspiny_9,ME_Inh_12,146.9000984,435.2854667,2.075289575,-10.27858478
471077857,Inh_9,Aspiny_9,ME_Inh_13,164.144926,637.3616268,1.221941176,0
471085676,Inh_8,,,,,,
471087830,Inh_8,Aspiny_3,ME_Inh_9,194.6723412,803.9136418,1.504890895,-6.903828904
471129934,Exc_3,Spiny_9,ME_Exc_13,144.8302601,500.5549712,1.984126984,-2.218640209
471131311,Exc_4,,,,,,
471141261,Exc_3,Spiny_11,ME_Exc_6,133.5155236,627.7552051,1.8633008,17.44760135
471143169,Exc_3,Spiny_16,ME_Exc_5,191.6807802,704.7645331,1.920167131,2.696624941
471410185,Exc_3,Spiny_17,ME_Exc_6,118.0403451,894.3402011,1.690447934,27.225628
471758398,Exc_1,Spiny_5,ME_Exc_20,175.0634723,701.8468199,1.520302114,-1.052998802
471767045,Exc_4,Spiny_13,ME_Exc_1,223.5814042,545.1332417,2.086811352,29.16102201
471786879,Exc_3,Spiny_18,ME_Exc_2,220.2470728,876.2232846,3.302194859,6.881875592
471789504,Exc_2,Spiny_18,ME_Exc_2,162.7310594,904.5666985,2.283926298,10.21293618
471800189,Exc_1,Spiny_13,ME_Exc_4,134.5307712,740.6746722,2.750048126,19.22734197
471819401,Exc_2,,,,,,
472517038,Inh_9,,,,,,
473011949,Inh_7,,,,,,
473020156,Exc_3,Spiny_4,ME_Exc_17,208.3855745,421.1029173,2.970022572,1.548157699
473111617,Exc_3,,,,,,
473540161,Inh_6,Aspiny_1,ME_Inh_25,207.5989323,291.5359899,2.852376478,-19.5954919
473543792,Inh_6,Aspiny_11,ME_Inh_25,216.9233132,807.4244544,3.079204685,11.14672816
473564515,Inh_6,Aspiny_12,ME_Inh_24,150.0175009,818.3523803,2.472368987,11.07091699
473593847,Inh_7,,,,,,
473601979,Exc_3,Spiny_7,ME_Exc_5,161.6434297,553.6582373,2.499420866,8.012436086
473611755,Exc_1,Spiny_5,ME_Exc_20,152.7487243,294.622023,2.651515152,10.72414794
473642382,Exc_3,,,,,,
473909767,Inh_7,,,,,,
473943881,Inh_1,Aspiny_8,ME_Inh_20,169.0827119,351.9471202,3.516483516,3.500442665
473951795,Inh_5,,,,,,
473974547,Inh_3,,,,,,
474267418,Inh_3,,,,,,
474283475,Inh_1,,,,,,
474626527,Inh_3,Aspiny_10,ME_Inh_1,216.0524769,400.9289692,2.922077922,5.085857688
474637203,Inh_3,,,,,,
474652473,Inh_1,,,,,,
474660482,Inh_2,,,,,,
475029659,Inh_6,,,,,,
475047891,Inh_4,,,,,,
475049291,Inh_6,,,,,,
475057898,Inh_6,Aspiny_2,ME_Inh_24,147.8570501,816.1138294,3.230400042,4.398705355
475068599,Inh_6,Aspiny_7,ME_Inh_15,191.0216669,199.10839,1.959554789,3.174944328
475132727,Inh_9,,,,,,
475202388,Inh_4,Aspiny_4,ME_Inh_23,224.2234844,802.8632036,3.571428571,-26.99171436
475330208,Exc_2,,,,,,
475400072,Exc_3,,,,,,
475459689,Exc_3,Spiny_4,ME_Exc_17,152.0506926,443.0719487,2.690457485,-1.30161667
475465708,Inh_6,,,,,,
475512108,Inh_8,,,,,,
475515168,Inh_6,,,,,,
475517090,Inh_6,,,,,,
475517157,Inh_5,,,,,,
475542743,Inh_7,,,,,,
475542907,Inh_7,,,,,,
475549284,Inh_13,Aspiny_12,ME_Inh_11,209.6426947,555.53566,2.399748026,0.299288826
475549334,Inh_9,,,,,,
475550148,Inh_9,,,,,,
475580568,Inh_13,,,,,,
475585413,Inh_3,Aspiny_18,ME_Inh_18,155.0868076,75.48706769,4.405253076,-18.20076026
475585451,Inh_5,,,,,,
475586130,Inh_7,,,,,,
475619045,Inh_2,,,,,,
475619177,Inh_1,,,,,,
475622680,Inh_3,,,,,,
475622793,Inh_3,,,,,,
475623964,,Aspiny_15,,168.6412914,207.0491149,5.245449573,0
475625477,Inh_3,,,,,,
475740357,Inh_7,,,,,,
475744706,Exc_3,Spiny_16,ME_Exc_5,170.2162846,728.6872479,1.775848461,3.10739602
475751758,Exc_3,,,,,,
475838754,Exc_3,,,,,,
475848827,Exc_3,,,,,,
475888653,Inh_13,,,,,,
475892238,Inh_13,,,,,,
475895240,Inh_11,,,,,,
476048909,Exc_3,Spiny_9,ME_Exc_13,137.133722,482.8514753,2.327712683,11.48814968
476049169,Exc_3,Spiny_18,ME_Exc_2,177.6903809,731.9000367,2.134389714,2.541455651
476051620,Exc_3,,,,,,
476053392,Exc_3,,,,,,
476054829,Exc_3,,,,,,
476054887,Exc_3,Spiny_9,ME_Exc_13,204.162316,464.224055,2.21748044,6.562535484
476056333,Exc_3,,,,,,
476086391,Exc_3,Spiny_7,ME_Exc_20,137.760508,340.5172023,2.068055437,13.26993478
476087653,Exc_3,,,,,,
476093220,Inh_2,,,,,,
476099282,Inh_3,,,,,,
476100382,Inh_7,,,,,,
476104386,Inh_12,,,,,,
476126528,Exc_3,Spiny_3,ME_Exc_17,219.3952584,430.3591875,1.956732726,9.852122876
476129135,Exc_3,,,,,,
476131588,Exc_3,Spiny_5,ME_Exc_18,210.8693917,431.3453061,2.751170394,4.121871839
476135066,Exc_3,Spiny_3,ME_Exc_13,144.058762,426.9050979,5.456349206,8.998163799
476144118,Exc_3,,,,,,
476178907,Exc_3,,,,,,
