,index,El_reference,C,init_threshold,spike_cut_length,R_input
183,586073850,-0.07541775,6.843766e-11,0.028489918,44.0,157806270.0
184,586379590,-0.07175388,7.6953416e-11,0.029549157,68.0,194943170.0
185,586559181,-0.06896279,9.106447e-11,0.027789256,75.0,387496350.0
186,586566174,-0.068111785,1.08523156e-10,0.0303303,100.0,282705180.0
187,587045566,-0.07199377,6.726876e-11,0.03180683,81.0,306054620.0
188,590558808,-0.07276611,7.990481e-11,0.03106396,62.0,216731540.0
189,591265629,-0.06772648,6.7599315e-11,0.024989432,74.0,604235600.0
190,591268268,-0.070224375,7.042086e-11,0.025237173,60.0,274242530.0
191,591278744,-0.06745359,6.764588e-11,0.026356813,60.0,196452270.0
192,592952680,-0.06849988,1.06204115e-10,0.027921086,91.0,299758560.0
193,593312584,-0.06696587,5.6501814e-11,0.029745577,76.0,347851400.0
194,593321019,-0.07290088,4.573789e-11,0.031463996,69.0,411179870.0
195,594091004,-0.07080465,6.5912706e-11,0.033796664,76.0,157008850.0
196,609435731,-0.072815605,5.2852552e-11,0.027449377,39.0,173004500.0
197,614767057,-0.073338635,8.315175e-11,0.023059778,34.0,137725650.0
198,614777438,-0.078986034,1.4804923e-10,0.025711656,52.0,87387760.0
199,623185845,-0.0709054,8.717303e-11,0.03030541,83.0,235188510.0
200,313862022,-0.07307816,1.1163349e-10,0.034849662,162.0,190021680.0
201,314642645,-0.07224023,8.000577e-11,0.029311642,74.0,239067220.0
202,314804042,-0.07807579,7.214559e-11,0.03881947,116.0,471982370.0
203,314822529,-0.078610085,1.4951179e-10,0.029775456,99.0,138671940.0
204,314831019,-0.06632294,1.0337671e-10,0.032311797,93.0,92984584.0
205,314900022,-0.071590416,7.3362406e-11,0.029704155,74.0,407795650.0
206,318733871,-0.07493994,9.741767e-11,0.032070808,75.0,188331600.0
207,318808427,-0.07593185,6.3729494e-11,0.032319408,62.0,246490960.0
208,320207387,-0.070032,1.0421533e-10,0.027445951,80.0,121070910.0
209,320668879,-0.07461351,1.509966e-10,0.03322325,149.0,91880590.0
210,321906005,-0.08174866,7.695812e-11,0.03800032,132.0,216273170.0
211,323452245,-0.06985856,1.4961679e-10,0.028123392,73.0,87858220.0
212,323865917,-0.07146632,9.160275e-11,0.029732263,77.0,180086080.0
213,324025297,-0.07560429,9.77557e-11,0.032778166,132.0,208263760.0
214,324025371,-0.07027625,1.2871797e-10,0.02788175,75.0,154543140.0
215,324521027,-0.07125474,1.1721983e-10,0.026294367,79.0,130737944.0
216,325941643,-0.078303084,1.4328912e-10,0.033385225,59.0,87927624.0
217,329550137,-0.0734263,8.0872614e-11,0.035454396,89.0,198171020.0
218,329550277,-0.08172829,1.07174984e-10,0.036087662,69.0,174849300.0
219,348592897,-0.070614055,1.4551339e-10,0.031277277,66.0,182435950.0
220,349621141,-0.07332927,1.1359732e-10,0.029886905,109.0,444574500.0
221,354190013,-0.07149516,2.1534176e-10,0.0330297,53.0,175290740.0
222,354833767,-0.08578621,8.952312e-11,0.041113615,58.0,85901280.0
223,370351753,-0.075602315,1.07012794e-10,0.03521139,77.0,177919780.0
224,382982932,-0.07780503,8.674876e-11,0.034528505,82.0,191288260.0
225,386049446,-0.08324782,1.0195372e-10,0.034153946,64.0,198102990.0
226,386970660,-0.073810816,9.14535e-11,0.028884137,86.0,251446560.0
227,395830185,-0.07522784,8.910065e-11,0.027773915,83.0,260029250.0
228,397351623,-0.075947635,9.82205e-11,0.030082371,73.0,226403020.0
229,397353539,-0.07859276,1.15767805e-10,0.034795184,53.0,101272620.0
230,422738880,-0.07550307,8.678037e-11,0.032850977,73.0,180708850.0
231,466632464,-0.0729207,9.022061e-11,0.029694924,83.0,187188450.0
232,467703703,-0.0760954,1.2550357e-10,0.032938845,108.0,98448344.0
233,468120757,-0.070292205,1.3675402e-10,0.031876337,95.0,76313040.0
234,468193142,-0.08037855,1.3422745e-10,0.036136117,109.0,207356100.0
235,469704261,-0.08834693,9.9884725e-11,0.040320247,70.0,98862700.0
236,469793303,-0.07852791,8.198589e-11,0.032766607,64.0,183337330.0
237,469798159,-0.07921044,8.156212e-11,0.031459972,60.0,225683460.0
238,471129934,-0.071327105,1.4012902e-10,0.024112653,101.0,134775120.0
239,471141261,-0.07759153,1.2097677e-10,0.03231565,99.0,140204370.0
240,471143169,-0.07381343,1.65485e-10,0.029703459,66.0,130978550.0
241,471410185,-0.07333485,1.0657039e-10,0.03331191,77.0,184076290.0
242,471758398,-0.074004345,1.2713637e-10,0.027200706,84.0,212154800.0
243,471767045,-0.065246806,1.5696941e-10,0.01799714,79.0,95031096.0
244,471786879,-0.079369485,1.241607e-10,0.034515224,121.0,126958200.0
245,471789504,-0.07196295,5.3053038e-11,0.034934208,39.0,258741440.0
246,471800189,-0.07668552,8.9208294e-11,0.033115856,58.0,156219360.0
247,473020156,-0.07689511,9.0018465e-11,0.034214385,95.0,273307330.0
248,473601979,-0.06962794,1.7945043e-10,0.027883649,126.0,44478800.0
249,473611755,-0.08238893,2.420931e-10,0.029610023,55.0,18040880.0
250,475459689,-0.07448373,9.543857e-11,0.031846646,84.0,246229710.0
251,475744706,-0.07379083,1.2544231e-10,0.029850386,125.0,380390180.0
252,476048909,-0.06570737,2.21997e-10,0.021928636,112.0,87580660.0
253,476049169,-0.058131203,1.5784847e-10,0.026393965,132.0,25224768.0
254,476054887,-0.073627725,1.3148171e-10,0.028107444,94.0,137945170.0
255,476086391,-0.07343288,1.12470415e-10,0.028891956,58.0,105472510.0
256,476126528,-0.07822253,8.964939e-11,0.032458667,113.0,287662560.0
257,476131588,-0.06649565,1.0624545e-10,0.024203023,103.0,456214980.0
258,476135066,-0.072102696,1.1719792e-10,0.026094891,75.0,160552670.0
259,476216637,-0.0728278,8.4803414e-11,0.024330702,66.0,243233440.0
260,476218657,-0.07649282,1.2308901e-10,0.032240752,89.0,102765070.0
261,476263004,-0.07106052,8.8173024e-11,0.027481481,67.0,167537860.0
262,476451456,-0.07345543,1.05311336e-10,0.029405588,75.0,241686510.0
263,476455864,-0.075189166,1.0415809e-10,0.03085056,77.0,165064420.0
264,476457450,-0.0729066,9.3601175e-11,0.03212984,73.0,262396780.0
265,476562817,-0.0720266,8.7036975e-11,0.024860403,51.0,197250140.0
266,476616076,-0.07494275,1.046783e-10,0.031039339,104.0,194097620.0
267,476823462,-0.07333968,1.10665706e-10,0.030612642,105.0,171133810.0
268,477127614,-0.07216454,7.601541e-11,0.027498072,80.0,284323680.0
269,477135941,-0.07557798,7.53646e-11,0.02740458,52.0,281692740.0
270,478497530,-0.0755266,1.1853102e-10,0.031850263,73.0,294656220.0
271,478499902,-0.08263127,1.0494559e-10,0.03824399,71.0,250933460.0
272,478586295,-0.068235226,1.13961035e-10,0.026442375,97.0,145648270.0
273,478888052,-0.07032002,1.027759e-10,0.028236166,79.0,193367820.0
274,478892782,-0.07138449,9.4322536e-11,0.028689194,72.0,186499600.0
275,479010903,-0.07888896,2.0584615e-10,0.03371507,145.0,139180960.0
276,479013100,-0.077865444,9.646508e-11,0.03467765,87.0,182803780.0
277,479179020,-0.0724098,9.987331e-11,0.027182316,80.0,222202800.0
278,479225052,-0.063810855,1.4534085e-10,0.021057652,55.0,237220830.0
279,479225080,-0.07453709,1.2198469e-10,0.027333593,137.0,248549340.0
280,479704527,-0.07689617,1.4685145e-10,0.02988866,191.0,212173020.0
281,479721491,-0.076793954,1.2251236e-10,0.03659021,97.0,101317650.0
282,479728896,-0.078346565,1.0828311e-10,0.03208675,78.0,233721740.0
283,479770916,-0.067228206,1.8052014e-10,0.022280566,63.0,150643280.0
284,480003970,-0.06786603,4.0277817e-10,0.017829904,75.0,58331720.0
285,480087928,-0.07528959,1.2325206e-10,0.029785117,134.0,348183970.0
286,480114344,-0.078236066,1.4497982e-10,0.033008344,105.0,125352560.0
287,480116737,-0.071359456,1.4893203e-10,0.024898797,97.0,147116320.0
288,480122859,-0.07049498,1.102126e-10,0.025237245,79.0,537894140.0
289,480124551,-0.07165377,6.363681e-11,0.035212103,68.0,152791300.0
